threshold,precision,recall,f1,specificity,accuracy,tp,fp,tn,fn
0,0.840388,1,0.913273,0,0.840388,1906,362,0,0
0.02,0.861866,0.998426,0.925134,0.157459,0.864198,1903,305,57,3
0.04,0.874309,0.996327,0.931339,0.245856,0.876543,1899,273,89,7
0.06,0.882353,0.991605,0.933794,0.303867,0.881834,1890,252,110,16
0.08,0.892162,0.98531,0.936425,0.372928,0.887566,1878,227,135,28
0.1,0.897744,0.981112,0.937578,0.411602,0.890212,1870,213,149,36
0.12,0.905642,0.976915,0.939929,0.464088,0.895062,1862,194,168,44
0.14,0.914851,0.96957,0.941416,0.524862,0.898589,1848,172,190,58
0.16,0.920643,0.9617,0.940724,0.563536,0.898148,1833,158,204,73
0.18,0.927189,0.955404,0.941085,0.604972,0.899471,1821,143,219,85
0.2,0.932474,0.949108,0.940718,0.638122,0.899471,1809,131,231,97
0.22,0.937337,0.941763,0.939545,0.668508,0.898148,1795,120,242,111
0.24,0.942706,0.932319,0.937484,0.701657,0.895503,1777,108,254,129
0.26,0.944056,0.920776,0.932271,0.712707,0.887566,1755,104,258,151
0.28,0.95082,0.912907,0.931478,0.751381,0.887125,1740,90,272,166
0.3,0.95515,0.905037,0.929418,0.776243,0.88448,1725,81,281,181
0.32,0.958989,0.895593,0.926207,0.798343,0.880071,1707,73,289,199
0.34,0.962436,0.887198,0.923287,0.81768,0.876102,1691,66,296,215
0.36,0.967109,0.879328,0.921132,0.842541,0.873457,1676,57,305,230
0.38,0.967136,0.864638,0.913019,0.845304,0.861552,1648,56,306,258
0.4,0.974252,0.85362,0.909955,0.881215,0.858025,1627,43,319,279
0.42,0.987789,0.806401,0.887926,0.947514,0.828924,1537,19,343,369
0.44,0.989536,0.793809,0.880932,0.955801,0.819665,1513,16,346,393
0.46,0.991379,0.784365,0.875805,0.964088,0.813051,1495,13,349,411
0.48,0.992632,0.777545,0.872021,0.969613,0.808201,1482,11,351,424
0.5,0.993869,0.765477,0.864849,0.975138,0.798942,1459,9,353,447
0.52,0.995192,0.760231,0.861987,0.980663,0.795414,1449,7,355,457
0.54,0.995868,0.758657,0.861227,0.983425,0.794533,1446,6,356,460
0.56,0.996537,0.754984,0.859105,0.986188,0.791887,1439,5,357,467
0.58,0.997222,0.75341,0.858338,0.98895,0.791005,1436,4,358,470
0.6,0.997211,0.750262,0.856287,0.98895,0.78836,1430,4,358,476
0.62,0.997905,0.749738,0.856201,0.991713,0.78836,1429,3,359,477
0.64,0.998595,0.746065,0.854054,0.994475,0.785714,1422,2,360,484
0.66,0.999293,0.741868,0.851551,0.997238,0.782628,1414,1,361,492
0.68,0.99929,0.73872,0.849472,0.997238,0.779982,1408,1,361,498
0.7,1,0.735572,0.847642,1,0.777778,1402,0,362,504
0.72,1,0.732949,0.845898,1,0.775573,1397,0,362,509
0.74,1,0.728227,0.842744,1,0.771605,1388,0,362,518
0.76,1,0.724554,0.84028,1,0.768519,1381,0,362,525
0.78,1,0.718258,0.836031,1,0.763228,1369,0,362,537
0.8,1,0.712487,0.832108,1,0.758377,1358,0,362,548
0.82,1,0.708814,0.829598,1,0.755291,1351,0,362,555
0.84,1,0.705666,0.827438,1,0.752645,1345,0,362,561
0.86,1,0.698321,0.822366,1,0.746473,1331,0,362,575
0.88,1,0.690976,0.817251,1,0.7403,1317,0,362,589
0.9,1,0.684155,0.812461,1,0.734568,1304,0,362,602
0.92,1,0.672613,0.804266,1,0.724868,1282,0,362,624
0.94,1,0.660546,0.795577,1,0.714727,1259,0,362,647
0.96,1,0.645855,0.784826,1,0.702381,1231,0,362,675
0.98,1,0.62382,0.768336,1,0.683862,1189,0,362,717
1,1,0.31532,0.479458,1,0.424603,601,0,362,1305
